,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
1108,Mixed Use,"1960-1979,Unknown date",28-30m,0,
1109,Mixed Use,"1960-1979,Unknown date",30-35m,0,
1110,Mixed Use,"1960-1979,Unknown date",35-40m,0,
1111,Mixed Use,"1960-1979,Unknown date",40-45m,0,
1112,Mixed Use,"1960-1979,Unknown date",45-50m,0,
1113,Mixed Use,"1960-1979,Unknown date",50-55m,0,
1114,Mixed Use,"1960-1979,Unknown date",55-60m,0,
1115,Mixed Use,"1960-1979,Unknown date",60-70m,0,
1116,Mixed Use,"1960-1979,Unknown date",70-80m,0,
1117,Mixed Use,"1960-1979,Unknown date",80-90m,0,
1118,Mixed Use,"1960-1979,Unknown date",90-100m,0,
1119,Mixed Use,"1960-1979,Unknown date",100-200m,0,
1120,Mixed Use,1980-1989,0-2m,0,
1121,Mixed Use,1980-1989,2-3m,0,
1122,Mixed Use,1980-1989,3-4m,137,1.0
1123,Mixed Use,1980-1989,4-5m,69,1.0
1124,Mixed Use,1980-1989,5-6m,77,1.6753246753246753
1125,Mixed Use,1980-1989,6-7m,101,2.0
1126,Mixed Use,1980-1989,7-8m,277,2.0613718411552346
1127,Mixed Use,1980-1989,8-9m,737,2.2225237449118045
1128,Mixed Use,1980-1989,9-10m,848,2.3207547169811322
1129,Mixed Use,1980-1989,10-11m,473,2.602536997885835
1130,Mixed Use,1980-1989,11-12m,312,3.1955128205128207
1131,Mixed Use,1980-1989,12-13m,325,3.3630769230769233
1132,Mixed Use,1980-1989,13-14m,281,3.4448398576512456
1133,Mixed Use,1980-1989,14-15m,264,3.6515151515151514
1134,Mixed Use,1980-1989,15-16m,254,3.84251968503937
1135,Mixed Use,1980-1989,16-17m,190,3.963157894736842
1136,Mixed Use,1980-1989,17-18m,140,4.642857142857143
1137,Mixed Use,1980-1989,18-19m,129,4.627906976744186
1138,Mixed Use,1980-1989,19-20m,93,4.860215053763441
1139,Mixed Use,1980-1989,20-22m,192,4.994791666666667
1140,Mixed Use,1980-1989,22-24m,104,5.8076923076923075
1141,Mixed Use,1980-1989,24-26m,101,6.415841584158416
1142,Mixed Use,1980-1989,26-28m,86,6.686046511627907
1143,Mixed Use,1980-1989,28-30m,47,7.127659574468085
1144,Mixed Use,1980-1989,30-35m,84,8.107142857142858
1145,Mixed Use,1980-1989,35-40m,35,8.885714285714286
1146,Mixed Use,1980-1989,40-45m,41,9.682926829268293
1147,Mixed Use,1980-1989,45-50m,3,12.0
1148,Mixed Use,1980-1989,50-55m,5,14.2
1149,Mixed Use,1980-1989,55-60m,5,14.4
1150,Mixed Use,1980-1989,60-70m,0,
1151,Mixed Use,1980-1989,70-80m,3,21.333333333333332
1152,Mixed Use,1980-1989,80-90m,5,26.0
1153,Mixed Use,1980-1989,90-100m,0,
1154,Mixed Use,1980-1989,100-200m,2,34.5
1155,Mixed Use,"1980-1989,1990-1999",0-2m,0,
1156,Mixed Use,"1980-1989,1990-1999",2-3m,0,
1157,Mixed Use,"1980-1989,1990-1999",3-4m,0,
1158,Mixed Use,"1980-1989,1990-1999",4-5m,0,
1159,Mixed Use,"1980-1989,1990-1999",5-6m,0,
1160,Mixed Use,"1980-1989,1990-1999",6-7m,0,
1161,Mixed Use,"1980-1989,1990-1999",7-8m,0,
1162,Mixed Use,"1980-1989,1990-1999",8-9m,0,
1163,Mixed Use,"1980-1989,1990-1999",9-10m,0,
1164,Mixed Use,"1980-1989,1990-1999",10-11m,0,
1165,Mixed Use,"1980-1989,1990-1999",11-12m,0,
1166,Mixed Use,"1980-1989,1990-1999",12-13m,0,
1167,Mixed Use,"1980-1989,1990-1999",13-14m,0,
1168,Mixed Use,"1980-1989,1990-1999",14-15m,0,
1169,Mixed Use,"1980-1989,1990-1999",15-16m,0,
1170,Mixed Use,"1980-1989,1990-1999",16-17m,0,
1171,Mixed Use,"1980-1989,1990-1999",17-18m,0,
1172,Mixed Use,"1980-1989,1990-1999",18-19m,0,
1173,Mixed Use,"1980-1989,1990-1999",19-20m,0,
1174,Mixed Use,"1980-1989,1990-1999",20-22m,0,
1175,Mixed Use,"1980-1989,1990-1999",22-24m,0,
1176,Mixed Use,"1980-1989,1990-1999",24-26m,0,
1177,Mixed Use,"1980-1989,1990-1999",26-28m,0,
1178,Mixed Use,"1980-1989,1990-1999",28-30m,0,
1179,Mixed Use,"1980-1989,1990-1999",30-35m,0,
1180,Mixed Use,"1980-1989,1990-1999",35-40m,0,
1181,Mixed Use,"1980-1989,1990-1999",40-45m,0,
1182,Mixed Use,"1980-1989,1990-1999",45-50m,0,
1183,Mixed Use,"1980-1989,1990-1999",50-55m,0,
1184,Mixed Use,"1980-1989,1990-1999",55-60m,0,
1185,Mixed Use,"1980-1989,1990-1999",60-70m,0,
1186,Mixed Use,"1980-1989,1990-1999",70-80m,0,
1187,Mixed Use,"1980-1989,1990-1999",80-90m,0,
1188,Mixed Use,"1980-1989,1990-1999",90-100m,0,
1189,Mixed Use,"1980-1989,1990-1999",100-200m,0,
1190,Mixed Use,"1980-1989,Post 1999",0-2m,0,
1191,Mixed Use,"1980-1989,Post 1999",2-3m,0,
1192,Mixed Use,"1980-1989,Post 1999",3-4m,0,
1193,Mixed Use,"1980-1989,Post 1999",4-5m,0,
1194,Mixed Use,"1980-1989,Post 1999",5-6m,0,
1195,Mixed Use,"1980-1989,Post 1999",6-7m,0,
1196,Mixed Use,"1980-1989,Post 1999",7-8m,0,
1197,Mixed Use,"1980-1989,Post 1999",8-9m,0,
1198,Mixed Use,"1980-1989,Post 1999",9-10m,0,
1199,Mixed Use,"1980-1989,Post 1999",10-11m,0,
1200,Mixed Use,"1980-1989,Post 1999",11-12m,0,
1201,Mixed Use,"1980-1989,Post 1999",12-13m,0,
1202,Mixed Use,"1980-1989,Post 1999",13-14m,0,
1203,Mixed Use,"1980-1989,Post 1999",14-15m,0,
1204,Mixed Use,"1980-1989,Post 1999",15-16m,0,
1205,Mixed Use,"1980-1989,Post 1999",16-17m,0,
1206,Mixed Use,"1980-1989,Post 1999",17-18m,0,
1207,Mixed Use,"1980-1989,Post 1999",18-19m,0,
1208,Mixed Use,"1980-1989,Post 1999",19-20m,0,
1209,Mixed Use,"1980-1989,Post 1999",20-22m,0,
1210,Mixed Use,"1980-1989,Post 1999",22-24m,0,
1211,Mixed Use,"1980-1989,Post 1999",24-26m,0,
1212,Mixed Use,"1980-1989,Post 1999",26-28m,0,
1213,Mixed Use,"1980-1989,Post 1999",28-30m,0,
1214,Mixed Use,"1980-1989,Post 1999",30-35m,0,
1215,Mixed Use,"1980-1989,Post 1999",35-40m,0,
1216,Mixed Use,"1980-1989,Post 1999",40-45m,0,
1217,Mixed Use,"1980-1989,Post 1999",45-50m,0,
1218,Mixed Use,"1980-1989,Post 1999",50-55m,0,
1219,Mixed Use,"1980-1989,Post 1999",55-60m,0,
1220,Mixed Use,"1980-1989,Post 1999",60-70m,0,
1221,Mixed Use,"1980-1989,Post 1999",70-80m,0,
1222,Mixed Use,"1980-1989,Post 1999",80-90m,0,
1223,Mixed Use,"1980-1989,Post 1999",90-100m,0,
1224,Mixed Use,"1980-1989,Post 1999",100-200m,0,
1225,Mixed Use,"1980-1989,Pre 1919",0-2m,0,
1226,Mixed Use,"1980-1989,Pre 1919",2-3m,0,
1227,Mixed Use,"1980-1989,Pre 1919",3-4m,0,
1228,Mixed Use,"1980-1989,Pre 1919",4-5m,0,
1229,Mixed Use,"1980-1989,Pre 1919",5-6m,0,
1230,Mixed Use,"1980-1989,Pre 1919",6-7m,3,2.0
1231,Mixed Use,"1980-1989,Pre 1919",7-8m,7,2.0
1232,Mixed Use,"1980-1989,Pre 1919",8-9m,34,2.088235294117647
1233,Mixed Use,"1980-1989,Pre 1919",9-10m,64,2.234375
1234,Mixed Use,"1980-1989,Pre 1919",10-11m,39,2.3846153846153846
1235,Mixed Use,"1980-1989,Pre 1919",11-12m,16,3.0
1236,Mixed Use,"1980-1989,Pre 1919",12-13m,22,3.1363636363636362
1237,Mixed Use,"1980-1989,Pre 1919",13-14m,20,3.1
1238,Mixed Use,"1980-1989,Pre 1919",14-15m,18,3.1666666666666665
1239,Mixed Use,"1980-1989,Pre 1919",15-16m,21,3.1904761904761907
1240,Mixed Use,"1980-1989,Pre 1919",16-17m,20,3.4
1241,Mixed Use,"1980-1989,Pre 1919",17-18m,8,4.25
1242,Mixed Use,"1980-1989,Pre 1919",18-19m,9,4.0
1243,Mixed Use,"1980-1989,Pre 1919",19-20m,5,4.0
1244,Mixed Use,"1980-1989,Pre 1919",20-22m,15,4.4
1245,Mixed Use,"1980-1989,Pre 1919",22-24m,3,5.0
1246,Mixed Use,"1980-1989,Pre 1919",24-26m,1,5.0
1247,Mixed Use,"1980-1989,Pre 1919",26-28m,1,5.0
1248,Mixed Use,"1980-1989,Pre 1919",28-30m,0,
1249,Mixed Use,"1980-1989,Pre 1919",30-35m,2,6.0
1250,Mixed Use,"1980-1989,Pre 1919",35-40m,1,7.0
1251,Mixed Use,"1980-1989,Pre 1919",40-45m,0,
1252,Mixed Use,"1980-1989,Pre 1919",45-50m,0,
1253,Mixed Use,"1980-1989,Pre 1919",50-55m,0,
1254,Mixed Use,"1980-1989,Pre 1919",55-60m,0,
1255,Mixed Use,"1980-1989,Pre 1919",60-70m,0,
1256,Mixed Use,"1980-1989,Pre 1919",70-80m,0,
1257,Mixed Use,"1980-1989,Pre 1919",80-90m,0,
1258,Mixed Use,"1980-1989,Pre 1919",90-100m,0,
1259,Mixed Use,"1980-1989,Pre 1919",100-200m,0,
1260,Mixed Use,"1980-1989,Unknown date",0-2m,0,
1261,Mixed Use,"1980-1989,Unknown date",2-3m,0,
1262,Mixed Use,"1980-1989,Unknown date",3-4m,0,
1263,Mixed Use,"1980-1989,Unknown date",4-5m,0,
1264,Mixed Use,"1980-1989,Unknown date",5-6m,0,
1265,Mixed Use,"1980-1989,Unknown date",6-7m,0,
1266,Mixed Use,"1980-1989,Unknown date",7-8m,0,
1267,Mixed Use,"1980-1989,Unknown date",8-9m,0,
1268,Mixed Use,"1980-1989,Unknown date",9-10m,0,
1269,Mixed Use,"1980-1989,Unknown date",10-11m,0,
1270,Mixed Use,"1980-1989,Unknown date",11-12m,0,
1271,Mixed Use,"1980-1989,Unknown date",12-13m,0,
1272,Mixed Use,"1980-1989,Unknown date",13-14m,0,
1273,Mixed Use,"1980-1989,Unknown date",14-15m,0,
1274,Mixed Use,"1980-1989,Unknown date",15-16m,0,
1275,Mixed Use,"1980-1989,Unknown date",16-17m,0,
1276,Mixed Use,"1980-1989,Unknown date",17-18m,0,
1277,Mixed Use,"1980-1989,Unknown date",18-19m,0,
1278,Mixed Use,"1980-1989,Unknown date",19-20m,0,
1279,Mixed Use,"1980-1989,Unknown date",20-22m,0,
1280,Mixed Use,"1980-1989,Unknown date",22-24m,0,
1281,Mixed Use,"1980-1989,Unknown date",24-26m,0,
1282,Mixed Use,"1980-1989,Unknown date",26-28m,0,
1283,Mixed Use,"1980-1989,Unknown date",28-30m,0,
1284,Mixed Use,"1980-1989,Unknown date",30-35m,0,
1285,Mixed Use,"1980-1989,Unknown date",35-40m,0,
1286,Mixed Use,"1980-1989,Unknown date",40-45m,0,
1287,Mixed Use,"1980-1989,Unknown date",45-50m,0,
1288,Mixed Use,"1980-1989,Unknown date",50-55m,0,
1289,Mixed Use,"1980-1989,Unknown date",55-60m,0,
1290,Mixed Use,"1980-1989,Unknown date",60-70m,0,
1291,Mixed Use,"1980-1989,Unknown date",70-80m,0,
1292,Mixed Use,"1980-1989,Unknown date",80-90m,0,
1293,Mixed Use,"1980-1989,Unknown date",90-100m,0,
1294,Mixed Use,"1980-1989,Unknown date",100-200m,0,
1295,Mixed Use,1990-1999,0-2m,0,
1296,Mixed Use,1990-1999,2-3m,0,
1297,Mixed Use,1990-1999,3-4m,5,1.0
1298,Mixed Use,1990-1999,4-5m,3,1.0
1299,Mixed Use,1990-1999,5-6m,14,1.9285714285714286
1300,Mixed Use,1990-1999,6-7m,37,2.0
1301,Mixed Use,1990-1999,7-8m,150,2.04
1302,Mixed Use,1990-1999,8-9m,403,2.13151364764268
1303,Mixed Use,1990-1999,9-10m,431,2.206496519721578
1304,Mixed Use,1990-1999,10-11m,223,2.632286995515695
1305,Mixed Use,1990-1999,11-12m,104,3.105769230769231
1306,Mixed Use,1990-1999,12-13m,93,3.2580645161290325
1307,Mixed Use,1990-1999,13-14m,72,3.5555555555555554
1308,Mixed Use,1990-1999,14-15m,54,3.759259259259259
1309,Mixed Use,1990-1999,15-16m,32,3.875
1310,Mixed Use,1990-1999,16-17m,26,3.8846153846153846
1311,Mixed Use,1990-1999,17-18m,12,4.666666666666667
1312,Mixed Use,1990-1999,18-19m,11,4.818181818181818
1313,Mixed Use,1990-1999,19-20m,6,4.5
1314,Mixed Use,1990-1999,20-22m,17,5.470588235294118
1315,Mixed Use,1990-1999,22-24m,5,5.0
1316,Mixed Use,1990-1999,24-26m,4,7.0
1317,Mixed Use,1990-1999,26-28m,7,7.285714285714286
1318,Mixed Use,1990-1999,28-30m,2,7.0
1319,Mixed Use,1990-1999,30-35m,1,11.0
1320,Mixed Use,1990-1999,35-40m,3,12.0
1321,Mixed Use,1990-1999,40-45m,0,
1322,Mixed Use,1990-1999,45-50m,0,
1323,Mixed Use,1990-1999,50-55m,3,13.0
1324,Mixed Use,1990-1999,55-60m,0,
1325,Mixed Use,1990-1999,60-70m,1,14.0
1326,Mixed Use,1990-1999,70-80m,0,
1327,Mixed Use,1990-1999,80-90m,0,
1328,Mixed Use,1990-1999,90-100m,0,
1329,Mixed Use,1990-1999,100-200m,0,
1330,Mixed Use,"1990-1999,Post 1999,Pre 1919",0-2m,0,
1331,Mixed Use,"1990-1999,Post 1999,Pre 1919",2-3m,0,
1332,Mixed Use,"1990-1999,Post 1999,Pre 1919",3-4m,0,
1333,Mixed Use,"1990-1999,Post 1999,Pre 1919",4-5m,0,
1334,Mixed Use,"1990-1999,Post 1999,Pre 1919",5-6m,0,
1335,Mixed Use,"1990-1999,Post 1999,Pre 1919",6-7m,0,
1336,Mixed Use,"1990-1999,Post 1999,Pre 1919",7-8m,0,
1337,Mixed Use,"1990-1999,Post 1999,Pre 1919",8-9m,0,
1338,Mixed Use,"1990-1999,Post 1999,Pre 1919",9-10m,0,
1339,Mixed Use,"1990-1999,Post 1999,Pre 1919",10-11m,0,
1340,Mixed Use,"1990-1999,Post 1999,Pre 1919",11-12m,0,
1341,Mixed Use,"1990-1999,Post 1999,Pre 1919",12-13m,0,
1342,Mixed Use,"1990-1999,Post 1999,Pre 1919",13-14m,0,
1343,Mixed Use,"1990-1999,Post 1999,Pre 1919",14-15m,0,
1344,Mixed Use,"1990-1999,Post 1999,Pre 1919",15-16m,0,
1345,Mixed Use,"1990-1999,Post 1999,Pre 1919",16-17m,0,
1346,Mixed Use,"1990-1999,Post 1999,Pre 1919",17-18m,0,
1347,Mixed Use,"1990-1999,Post 1999,Pre 1919",18-19m,0,
1348,Mixed Use,"1990-1999,Post 1999,Pre 1919",19-20m,0,
1349,Mixed Use,"1990-1999,Post 1999,Pre 1919",20-22m,0,
1350,Mixed Use,"1990-1999,Post 1999,Pre 1919",22-24m,0,
1351,Mixed Use,"1990-1999,Post 1999,Pre 1919",24-26m,0,
1352,Mixed Use,"1990-1999,Post 1999,Pre 1919",26-28m,0,
1353,Mixed Use,"1990-1999,Post 1999,Pre 1919",28-30m,0,
1354,Mixed Use,"1990-1999,Post 1999,Pre 1919",30-35m,0,
1355,Mixed Use,"1990-1999,Post 1999,Pre 1919",35-40m,0,
1356,Mixed Use,"1990-1999,Post 1999,Pre 1919",40-45m,0,
1357,Mixed Use,"1990-1999,Post 1999,Pre 1919",45-50m,0,
1358,Mixed Use,"1990-1999,Post 1999,Pre 1919",50-55m,0,
1359,Mixed Use,"1990-1999,Post 1999,Pre 1919",55-60m,0,
1360,Mixed Use,"1990-1999,Post 1999,Pre 1919",60-70m,0,
1361,Mixed Use,"1990-1999,Post 1999,Pre 1919",70-80m,0,
1362,Mixed Use,"1990-1999,Post 1999,Pre 1919",80-90m,0,
1363,Mixed Use,"1990-1999,Post 1999,Pre 1919",90-100m,0,
1364,Mixed Use,"1990-1999,Post 1999,Pre 1919",100-200m,0,
1365,Mixed Use,"1990-1999,Pre 1919",0-2m,0,
1366,Mixed Use,"1990-1999,Pre 1919",2-3m,0,
1367,Mixed Use,"1990-1999,Pre 1919",3-4m,0,
1368,Mixed Use,"1990-1999,Pre 1919",4-5m,0,
1369,Mixed Use,"1990-1999,Pre 1919",5-6m,0,
1370,Mixed Use,"1990-1999,Pre 1919",6-7m,1,2.0
1371,Mixed Use,"1990-1999,Pre 1919",7-8m,2,2.0
1372,Mixed Use,"1990-1999,Pre 1919",8-9m,4,2.0
1373,Mixed Use,"1990-1999,Pre 1919",9-10m,4,2.0
1374,Mixed Use,"1990-1999,Pre 1919",10-11m,2,2.0
1375,Mixed Use,"1990-1999,Pre 1919",11-12m,3,3.0
1376,Mixed Use,"1990-1999,Pre 1919",12-13m,1,3.0
1377,Mixed Use,"1990-1999,Pre 1919",13-14m,2,3.0
1378,Mixed Use,"1990-1999,Pre 1919",14-15m,0,
1379,Mixed Use,"1990-1999,Pre 1919",15-16m,0,
1380,Mixed Use,"1990-1999,Pre 1919",16-17m,2,4.0
1381,Mixed Use,"1990-1999,Pre 1919",17-18m,0,
1382,Mixed Use,"1990-1999,Pre 1919",18-19m,1,4.0
1383,Mixed Use,"1990-1999,Pre 1919",19-20m,2,4.0
1384,Mixed Use,"1990-1999,Pre 1919",20-22m,0,
1385,Mixed Use,"1990-1999,Pre 1919",22-24m,0,
1386,Mixed Use,"1990-1999,Pre 1919",24-26m,0,
1387,Mixed Use,"1990-1999,Pre 1919",26-28m,0,
1388,Mixed Use,"1990-1999,Pre 1919",28-30m,1,6.0
1389,Mixed Use,"1990-1999,Pre 1919",30-35m,0,
1390,Mixed Use,"1990-1999,Pre 1919",35-40m,0,
1391,Mixed Use,"1990-1999,Pre 1919",40-45m,0,
1392,Mixed Use,"1990-1999,Pre 1919",45-50m,0,
1393,Mixed Use,"1990-1999,Pre 1919",50-55m,0,
1394,Mixed Use,"1990-1999,Pre 1919",55-60m,0,
1395,Mixed Use,"1990-1999,Pre 1919",60-70m,0,
1396,Mixed Use,"1990-1999,Pre 1919",70-80m,0,
1397,Mixed Use,"1990-1999,Pre 1919",80-90m,0,
1398,Mixed Use,"1990-1999,Pre 1919",90-100m,0,
1399,Mixed Use,"1990-1999,Pre 1919",100-200m,0,
1400,Mixed Use,Post 1999,0-2m,0,
1401,Mixed Use,Post 1999,2-3m,0,
1402,Mixed Use,Post 1999,3-4m,19,1.0
1403,Mixed Use,Post 1999,4-5m,4,1.0
1404,Mixed Use,Post 1999,5-6m,38,1.9473684210526316
1405,Mixed Use,Post 1999,6-7m,58,2.0
1406,Mixed Use,Post 1999,7-8m,269,2.1524163568773234
1407,Mixed Use,Post 1999,8-9m,766,2.171018276762402
1408,Mixed Use,Post 1999,9-10m,865,2.2485549132947975
1409,Mixed Use,Post 1999,10-11m,383,2.637075718015666
1410,Mixed Use,Post 1999,11-12m,217,3.2857142857142856
1411,Mixed Use,Post 1999,12-13m,188,3.351063829787234
1412,Mixed Use,Post 1999,13-14m,159,3.509433962264151
1413,Mixed Use,Post 1999,14-15m,116,3.8189655172413794
1414,Mixed Use,Post 1999,15-16m,84,3.9285714285714284
1415,Mixed Use,Post 1999,16-17m,70,3.9714285714285715
1416,Mixed Use,Post 1999,17-18m,30,4.633333333333334
1417,Mixed Use,Post 1999,18-19m,35,5.057142857142857
1418,Mixed Use,Post 1999,19-20m,25,5.28
1419,Mixed Use,Post 1999,20-22m,43,5.488372093023256
1420,Mixed Use,Post 1999,22-24m,25,5.96
1421,Mixed Use,Post 1999,24-26m,22,6.136363636363637
1422,Mixed Use,Post 1999,26-28m,22,6.7272727272727275
1423,Mixed Use,Post 1999,28-30m,16,7.125
1424,Mixed Use,Post 1999,30-35m,23,7.695652173913044
1425,Mixed Use,Post 1999,35-40m,8,8.875
1426,Mixed Use,Post 1999,40-45m,11,11.181818181818182
1427,Mixed Use,Post 1999,45-50m,3,12.666666666666666
1428,Mixed Use,Post 1999,50-55m,2,13.5
1429,Mixed Use,Post 1999,55-60m,1,17.0
1430,Mixed Use,Post 1999,60-70m,5,17.4
1431,Mixed Use,Post 1999,70-80m,0,
1432,Mixed Use,Post 1999,80-90m,0,
1433,Mixed Use,Post 1999,90-100m,1,26.0
1434,Mixed Use,Post 1999,100-200m,1,43.0
1435,Mixed Use,"Post 1999,Pre 1919",0-2m,0,
1436,Mixed Use,"Post 1999,Pre 1919",2-3m,0,
1437,Mixed Use,"Post 1999,Pre 1919",3-4m,0,
1438,Mixed Use,"Post 1999,Pre 1919",4-5m,0,
1439,Mixed Use,"Post 1999,Pre 1919",5-6m,0,
1440,Mixed Use,"Post 1999,Pre 1919",6-7m,0,
1441,Mixed Use,"Post 1999,Pre 1919",7-8m,0,
1442,Mixed Use,"Post 1999,Pre 1919",8-9m,0,
1443,Mixed Use,"Post 1999,Pre 1919",9-10m,1,2.0
1444,Mixed Use,"Post 1999,Pre 1919",10-11m,0,
1445,Mixed Use,"Post 1999,Pre 1919",11-12m,1,3.0
1446,Mixed Use,"Post 1999,Pre 1919",12-13m,1,3.0
1447,Mixed Use,"Post 1999,Pre 1919",13-14m,1,3.0
1448,Mixed Use,"Post 1999,Pre 1919",14-15m,0,
1449,Mixed Use,"Post 1999,Pre 1919",15-16m,0,
1450,Mixed Use,"Post 1999,Pre 1919",16-17m,0,
1451,Mixed Use,"Post 1999,Pre 1919",17-18m,0,
1452,Mixed Use,"Post 1999,Pre 1919",18-19m,0,
1453,Mixed Use,"Post 1999,Pre 1919",19-20m,0,
1454,Mixed Use,"Post 1999,Pre 1919",20-22m,1,5.0
1455,Mixed Use,"Post 1999,Pre 1919",22-24m,0,
1456,Mixed Use,"Post 1999,Pre 1919",24-26m,0,
1457,Mixed Use,"Post 1999,Pre 1919",26-28m,0,
1458,Mixed Use,"Post 1999,Pre 1919",28-30m,0,
1459,Mixed Use,"Post 1999,Pre 1919",30-35m,0,
1460,Mixed Use,"Post 1999,Pre 1919",35-40m,0,
1461,Mixed Use,"Post 1999,Pre 1919",40-45m,0,
1462,Mixed Use,"Post 1999,Pre 1919",45-50m,0,
1463,Mixed Use,"Post 1999,Pre 1919",50-55m,0,
1464,Mixed Use,"Post 1999,Pre 1919",55-60m,0,
1465,Mixed Use,"Post 1999,Pre 1919",60-70m,0,
1466,Mixed Use,"Post 1999,Pre 1919",70-80m,0,
1467,Mixed Use,"Post 1999,Pre 1919",80-90m,0,
1468,Mixed Use,"Post 1999,Pre 1919",90-100m,0,
1469,Mixed Use,"Post 1999,Pre 1919",100-200m,0,
1470,Mixed Use,"Post 1999,Unknown date",0-2m,0,
1471,Mixed Use,"Post 1999,Unknown date",2-3m,0,
1472,Mixed Use,"Post 1999,Unknown date",3-4m,0,
1473,Mixed Use,"Post 1999,Unknown date",4-5m,0,
1474,Mixed Use,"Post 1999,Unknown date",5-6m,0,
1475,Mixed Use,"Post 1999,Unknown date",6-7m,0,
1476,Mixed Use,"Post 1999,Unknown date",7-8m,0,
1477,Mixed Use,"Post 1999,Unknown date",8-9m,0,
1478,Mixed Use,"Post 1999,Unknown date",9-10m,0,
1479,Mixed Use,"Post 1999,Unknown date",10-11m,0,
1480,Mixed Use,"Post 1999,Unknown date",11-12m,0,
1481,Mixed Use,"Post 1999,Unknown date",12-13m,0,
1482,Mixed Use,"Post 1999,Unknown date",13-14m,0,
1483,Mixed Use,"Post 1999,Unknown date",14-15m,0,
1484,Mixed Use,"Post 1999,Unknown date",15-16m,0,
1485,Mixed Use,"Post 1999,Unknown date",16-17m,0,
1486,Mixed Use,"Post 1999,Unknown date",17-18m,0,
1487,Mixed Use,"Post 1999,Unknown date",18-19m,0,
1488,Mixed Use,"Post 1999,Unknown date",19-20m,0,
1489,Mixed Use,"Post 1999,Unknown date",20-22m,0,
1490,Mixed Use,"Post 1999,Unknown date",22-24m,0,
1491,Mixed Use,"Post 1999,Unknown date",24-26m,0,
1492,Mixed Use,"Post 1999,Unknown date",26-28m,0,
1493,Mixed Use,"Post 1999,Unknown date",28-30m,0,
1494,Mixed Use,"Post 1999,Unknown date",30-35m,0,
1495,Mixed Use,"Post 1999,Unknown date",35-40m,0,
1496,Mixed Use,"Post 1999,Unknown date",40-45m,0,
1497,Mixed Use,"Post 1999,Unknown date",45-50m,0,
1498,Mixed Use,"Post 1999,Unknown date",50-55m,0,
1499,Mixed Use,"Post 1999,Unknown date",55-60m,0,
1500,Mixed Use,"Post 1999,Unknown date",60-70m,0,
1501,Mixed Use,"Post 1999,Unknown date",70-80m,0,
1502,Mixed Use,"Post 1999,Unknown date",80-90m,0,
1503,Mixed Use,"Post 1999,Unknown date",90-100m,0,
1504,Mixed Use,"Post 1999,Unknown date",100-200m,0,
1505,Mixed Use,Pre 1919,0-2m,0,
1506,Mixed Use,Pre 1919,2-3m,0,
1507,Mixed Use,Pre 1919,3-4m,56,1.0
1508,Mixed Use,Pre 1919,4-5m,15,1.0
1509,Mixed Use,Pre 1919,5-6m,524,1.9599236641221374
1510,Mixed Use,Pre 1919,6-7m,964,2.0
1511,Mixed Use,Pre 1919,7-8m,2642,2.064345193035579
1512,Mixed Use,Pre 1919,8-9m,7364,2.106463878326996
1513,Mixed Use,Pre 1919,9-10m,11589,2.1784450772284063
1514,Mixed Use,Pre 1919,10-11m,7766,2.3431625032191605
1515,Mixed Use,Pre 1919,11-12m,4200,2.9433333333333334
1516,Mixed Use,Pre 1919,12-13m,5082,3.085792994883904
1517,Mixed Use,Pre 1919,13-14m,5647,3.1083761289180094
1518,Mixed Use,Pre 1919,14-15m,4945,3.169464105156724
1519,Mixed Use,Pre 1919,15-16m,3989,3.271496615693156
1520,Mixed Use,Pre 1919,16-17m,2880,3.522222222222222
1521,Mixed Use,Pre 1919,17-18m,1235,4.113360323886639
1522,Mixed Use,Pre 1919,18-19m,1074,4.1694599627560525
1523,Mixed Use,Pre 1919,19-20m,966,4.153209109730849
1524,Mixed Use,Pre 1919,20-22m,1456,4.232142857142857
1525,Mixed Use,Pre 1919,22-24m,355,4.853521126760564
1526,Mixed Use,Pre 1919,24-26m,188,5.223404255319149
1527,Mixed Use,Pre 1919,26-28m,266,5.2481203007518795
1528,Mixed Use,Pre 1919,28-30m,74,6.297297297297297
1529,Mixed Use,Pre 1919,30-35m,110,6.909090909090909
1530,Mixed Use,Pre 1919,35-40m,37,7.5675675675675675
1531,Mixed Use,Pre 1919,40-45m,6,8.0
1532,Mixed Use,Pre 1919,45-50m,18,9.0
1533,Mixed Use,Pre 1919,50-55m,1,10.0
1534,Mixed Use,Pre 1919,55-60m,0,
1535,Mixed Use,Pre 1919,60-70m,0,
1536,Mixed Use,Pre 1919,70-80m,0,
1537,Mixed Use,Pre 1919,80-90m,0,
1538,Mixed Use,Pre 1919,90-100m,0,
1539,Mixed Use,Pre 1919,100-200m,0,
1540,Mixed Use,"Pre 1919,Unknown date",0-2m,0,
1541,Mixed Use,"Pre 1919,Unknown date",2-3m,0,
1542,Mixed Use,"Pre 1919,Unknown date",3-4m,0,
1543,Mixed Use,"Pre 1919,Unknown date",4-5m,0,
1544,Mixed Use,"Pre 1919,Unknown date",5-6m,0,
1545,Mixed Use,"Pre 1919,Unknown date",6-7m,0,
1546,Mixed Use,"Pre 1919,Unknown date",7-8m,0,
1547,Mixed Use,"Pre 1919,Unknown date",8-9m,1,2.0
1548,Mixed Use,"Pre 1919,Unknown date",9-10m,0,
1549,Mixed Use,"Pre 1919,Unknown date",10-11m,0,
