,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
90,Mixed Use,"1919-1944,1945-1959",22-24m,1,5.0
91,Mixed Use,"1919-1944,1945-1959",24-26m,0,
92,Mixed Use,"1919-1944,1945-1959",26-28m,2,5.0
93,Mixed Use,"1919-1944,1945-1959",28-30m,0,
94,Mixed Use,"1919-1944,1945-1959",30-35m,0,
95,Mixed Use,"1919-1944,1945-1959",35-40m,0,
96,Mixed Use,"1919-1944,1945-1959",40-45m,0,
97,Mixed Use,"1919-1944,1945-1959",45-50m,0,
98,Mixed Use,"1919-1944,1945-1959",50-55m,0,
99,Mixed Use,"1919-1944,1945-1959",55-60m,0,
100,Mixed Use,"1919-1944,1945-1959",60-70m,0,
101,Mixed Use,"1919-1944,1945-1959",70-80m,0,
102,Mixed Use,"1919-1944,1945-1959",80-90m,0,
103,Mixed Use,"1919-1944,1945-1959",90-100m,0,
104,Mixed Use,"1919-1944,1945-1959",100-200m,0,
105,Mixed Use,"1919-1944,1945-1959,1980-1989",0-2m,0,
106,Mixed Use,"1919-1944,1945-1959,1980-1989",2-3m,0,
107,Mixed Use,"1919-1944,1945-1959,1980-1989",3-4m,0,
108,Mixed Use,"1919-1944,1945-1959,1980-1989",4-5m,0,
109,Mixed Use,"1919-1944,1945-1959,1980-1989",5-6m,0,
110,Mixed Use,"1919-1944,1945-1959,1980-1989",6-7m,0,
111,Mixed Use,"1919-1944,1945-1959,1980-1989",7-8m,0,
112,Mixed Use,"1919-1944,1945-1959,1980-1989",8-9m,0,
113,Mixed Use,"1919-1944,1945-1959,1980-1989",9-10m,2,2.0
114,Mixed Use,"1919-1944,1945-1959,1980-1989",10-11m,0,
115,Mixed Use,"1919-1944,1945-1959,1980-1989",11-12m,0,
116,Mixed Use,"1919-1944,1945-1959,1980-1989",12-13m,0,
117,Mixed Use,"1919-1944,1945-1959,1980-1989",13-14m,0,
118,Mixed Use,"1919-1944,1945-1959,1980-1989",14-15m,0,
119,Mixed Use,"1919-1944,1945-1959,1980-1989",15-16m,0,
120,Mixed Use,"1919-1944,1945-1959,1980-1989",16-17m,0,
121,Mixed Use,"1919-1944,1945-1959,1980-1989",17-18m,0,
122,Mixed Use,"1919-1944,1945-1959,1980-1989",18-19m,0,
123,Mixed Use,"1919-1944,1945-1959,1980-1989",19-20m,0,
124,Mixed Use,"1919-1944,1945-1959,1980-1989",20-22m,0,
125,Mixed Use,"1919-1944,1945-1959,1980-1989",22-24m,0,
126,Mixed Use,"1919-1944,1945-1959,1980-1989",24-26m,0,
127,Mixed Use,"1919-1944,1945-1959,1980-1989",26-28m,0,
128,Mixed Use,"1919-1944,1945-1959,1980-1989",28-30m,0,
129,Mixed Use,"1919-1944,1945-1959,1980-1989",30-35m,0,
130,Mixed Use,"1919-1944,1945-1959,1980-1989",35-40m,0,
131,Mixed Use,"1919-1944,1945-1959,1980-1989",40-45m,0,
132,Mixed Use,"1919-1944,1945-1959,1980-1989",45-50m,0,
133,Mixed Use,"1919-1944,1945-1959,1980-1989",50-55m,0,
134,Mixed Use,"1919-1944,1945-1959,1980-1989",55-60m,0,
135,Mixed Use,"1919-1944,1945-1959,1980-1989",60-70m,0,
136,Mixed Use,"1919-1944,1945-1959,1980-1989",70-80m,0,
137,Mixed Use,"1919-1944,1945-1959,1980-1989",80-90m,0,
138,Mixed Use,"1919-1944,1945-1959,1980-1989",90-100m,0,
139,Mixed Use,"1919-1944,1945-1959,1980-1989",100-200m,0,
140,Mixed Use,"1919-1944,1945-1959,1990-1999",0-2m,0,
141,Mixed Use,"1919-1944,1945-1959,1990-1999",2-3m,0,
142,Mixed Use,"1919-1944,1945-1959,1990-1999",3-4m,0,
143,Mixed Use,"1919-1944,1945-1959,1990-1999",4-5m,0,
144,Mixed Use,"1919-1944,1945-1959,1990-1999",5-6m,0,
145,Mixed Use,"1919-1944,1945-1959,1990-1999",6-7m,0,
146,Mixed Use,"1919-1944,1945-1959,1990-1999",7-8m,0,
147,Mixed Use,"1919-1944,1945-1959,1990-1999",8-9m,0,
148,Mixed Use,"1919-1944,1945-1959,1990-1999",9-10m,1,2.0
149,Mixed Use,"1919-1944,1945-1959,1990-1999",10-11m,0,
150,Mixed Use,"1919-1944,1945-1959,1990-1999",11-12m,0,
151,Mixed Use,"1919-1944,1945-1959,1990-1999",12-13m,0,
152,Mixed Use,"1919-1944,1945-1959,1990-1999",13-14m,0,
153,Mixed Use,"1919-1944,1945-1959,1990-1999",14-15m,0,
154,Mixed Use,"1919-1944,1945-1959,1990-1999",15-16m,0,
155,Mixed Use,"1919-1944,1945-1959,1990-1999",16-17m,0,
156,Mixed Use,"1919-1944,1945-1959,1990-1999",17-18m,0,
157,Mixed Use,"1919-1944,1945-1959,1990-1999",18-19m,0,
158,Mixed Use,"1919-1944,1945-1959,1990-1999",19-20m,0,
159,Mixed Use,"1919-1944,1945-1959,1990-1999",20-22m,0,
160,Mixed Use,"1919-1944,1945-1959,1990-1999",22-24m,0,
161,Mixed Use,"1919-1944,1945-1959,1990-1999",24-26m,0,
162,Mixed Use,"1919-1944,1945-1959,1990-1999",26-28m,0,
163,Mixed Use,"1919-1944,1945-1959,1990-1999",28-30m,0,
164,Mixed Use,"1919-1944,1945-1959,1990-1999",30-35m,0,
165,Mixed Use,"1919-1944,1945-1959,1990-1999",35-40m,0,
166,Mixed Use,"1919-1944,1945-1959,1990-1999",40-45m,0,
167,Mixed Use,"1919-1944,1945-1959,1990-1999",45-50m,0,
168,Mixed Use,"1919-1944,1945-1959,1990-1999",50-55m,0,
169,Mixed Use,"1919-1944,1945-1959,1990-1999",55-60m,0,
170,Mixed Use,"1919-1944,1945-1959,1990-1999",60-70m,0,
171,Mixed Use,"1919-1944,1945-1959,1990-1999",70-80m,0,
172,Mixed Use,"1919-1944,1945-1959,1990-1999",80-90m,0,
173,Mixed Use,"1919-1944,1945-1959,1990-1999",90-100m,0,
174,Mixed Use,"1919-1944,1945-1959,1990-1999",100-200m,0,
175,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",0-2m,0,
176,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",2-3m,0,
177,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",3-4m,0,
178,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",4-5m,0,
179,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",5-6m,0,
180,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",6-7m,0,
181,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",7-8m,0,
182,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",8-9m,0,
183,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",9-10m,0,
184,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",10-11m,0,
185,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",11-12m,0,
186,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",12-13m,0,
187,Mixed Use,"1919-1944,1945-1959,1990-1999,Pre 1919",13-14m,0,
