Unnamed: 0,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
4361,Residential,1980-1989,24-26m,123,6.5528455284552845
4362,Residential,1980-1989,26-28m,95,7.242105263157895
4363,Residential,1980-1989,28-30m,97,8.1340206185567
4364,Residential,1980-1989,30-35m,103,9.611650485436892
4365,Residential,1980-1989,35-40m,42,11.738095238095235
4366,Residential,1980-1989,40-45m,31,14.419354838709678
4517,Residential,1990-1999,3-4m,380,1.0
4518,Residential,1990-1999,4-5m,3188,1.0
4519,Residential,1990-1999,5-6m,36767,1.8801642777490684
4520,Residential,1990-1999,6-7m,60559,2.0
4521,Residential,1990-1999,7-8m,220809,2.012078312025325
4522,Residential,1990-1999,8-9m,588649,2.0165616521900147
4523,Residential,1990-1999,9-10m,215311,2.041865023152556
4524,Residential,1990-1999,10-11m,27022,2.366516172007993
4525,Residential,1990-1999,11-12m,7723,3.233070050498511
4526,Residential,1990-1999,12-13m,3490,3.6134670487106018
4527,Residential,1990-1999,13-14m,2252,3.792628774422736
4528,Residential,1990-1999,14-15m,1670,3.8736526946107785
4529,Residential,1990-1999,15-16m,925,3.943783783783784
4530,Residential,1990-1999,16-17m,906,4.301324503311259
4531,Residential,1990-1999,17-18m,406,4.426108374384237
4532,Residential,1990-1999,18-19m,244,4.594262295081967
4533,Residential,1990-1999,19-20m,201,4.681592039800995
4534,Residential,1990-1999,20-22m,216,4.833333333333333
4535,Residential,1990-1999,22-24m,95,6.063157894736842
4536,Residential,1990-1999,24-26m,53,6.735849056603773
4537,Residential,1990-1999,26-28m,61,6.918032786885246
4538,Residential,1990-1999,28-30m,28,7.964285714285714
4539,Residential,1990-1999,30-35m,47,10.48936170212766
4540,Residential,1990-1999,35-40m,31,12.419354838709678
4622,Residential,Post 1999,3-4m,1899,1.0
4623,Residential,Post 1999,4-5m,2424,1.0
4624,Residential,Post 1999,5-6m,29243,1.8869131074103205
4625,Residential,Post 1999,6-7m,42165,2.0
4626,Residential,Post 1999,7-8m,219886,2.0203150723556758
4627,Residential,Post 1999,8-9m,791932,2.022413540556512
4628,Residential,Post 1999,9-10m,359071,2.0444480339542874
4629,Residential,Post 1999,10-11m,78549,2.4236718481457435
4630,Residential,Post 1999,11-12m,33663,3.088286843121528
4631,Residential,Post 1999,12-13m,9349,3.484650764787678
4632,Residential,Post 1999,13-14m,5325,3.741971830985916
4633,Residential,Post 1999,14-15m,3354,3.891174716756112
